# CIDR,network(start) address,end address,prefix,subnet mask
41.79.44.0/22,41.79.44.0,41.79.47.255,22,255.255.252.0
41.79.224.0/22,41.79.224.0,41.79.227.255,22,255.255.252.0
102.134.96.0/20,102.134.96.0,102.134.111.255,20,255.255.240.0
154.73.40.0/22,154.73.40.0,154.73.43.255,22,255.255.252.0
154.73.104.0/22,154.73.104.0,154.73.107.255,22,255.255.252.0
154.117.192.0/18,154.117.192.0,154.117.255.255,18,255.255.192.0
154.119.0.0/19,154.119.0.0,154.119.31.255,19,255.255.224.0
196.2.8.0/21,196.2.8.0,196.2.15.255,21,255.255.248.0
196.13.223.0/24,196.13.223.0,196.13.223.255,24,255.255.255.0
196.49.3.0/24,196.49.3.0,196.49.3.255,24,255.255.255.0
196.223.3.0/24,196.223.3.0,196.223.3.255,24,255.255.255.0
196.223.36.0/24,196.223.36.0,196.223.36.255,24,255.255.255.0
197.157.192.0/22,197.157.192.0,197.157.195.255,22,255.255.252.0
197.231.248.0/22,197.231.248.0,197.231.251.255,22,255.255.252.0
