# CIDR,network(start) address,end address,prefix,subnet mask
152.206.0.0/15,152.206.0.0,152.207.255.255,15,255.254.0.0
169.158.0.0/16,169.158.0.0,169.158.255.255,16,255.255.0.0
181.225.224.0/19,181.225.224.0,181.225.255.255,19,255.255.224.0
190.6.64.0/19,190.6.64.0,190.6.95.255,19,255.255.224.0
190.15.144.0/20,190.15.144.0,190.15.159.255,20,255.255.240.0
190.92.112.0/20,190.92.112.0,190.92.127.255,20,255.255.240.0
190.107.0.0/20,190.107.0.0,190.107.15.255,20,255.255.240.0
196.1.112.0/24,196.1.112.0,196.1.112.255,24,255.255.255.0
196.1.135.0/24,196.1.135.0,196.1.135.255,24,255.255.255.0
196.3.152.0/24,196.3.152.0,196.3.152.255,24,255.255.255.0
200.0.16.0/24,200.0.16.0,200.0.16.255,24,255.255.255.0
200.0.24.0/22,200.0.24.0,200.0.27.255,22,255.255.252.0
200.5.12.0/22,200.5.12.0,200.5.15.255,22,255.255.252.0
200.13.144.0/21,200.13.144.0,200.13.151.255,21,255.255.248.0
200.14.48.0/21,200.14.48.0,200.14.55.255,21,255.255.248.0
200.55.128.0/18,200.55.128.0,200.55.191.255,18,255.255.192.0
201.220.192.0/19,201.220.192.0,201.220.223.255,19,255.255.224.0
