# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
23.128.4.0/24,23.128.4.0,23.128.4.255,24,255.255.255.0,256
23.130.168.0/24,23.130.168.0,23.130.168.255,24,255.255.255.0,256
23.141.216.0/24,23.141.216.0,23.141.216.255,24,255.255.255.0,256
23.155.216.0/24,23.155.216.0,23.155.216.255,24,255.255.255.0,256
45.42.225.0/24,45.42.225.0,45.42.225.255,24,255.255.255.0,256
67.159.199.0/24,67.159.199.0,67.159.199.255,24,255.255.255.0,256
74.117.84.0/22,74.117.84.0,74.117.87.255,22,255.255.252.0,1024
74.122.88.0/21,74.122.88.0,74.122.95.255,21,255.255.248.0,2048
104.245.48.0/22,104.245.48.0,104.245.51.255,22,255.255.252.0,1024
104.245.92.0/22,104.245.92.0,104.245.95.255,22,255.255.252.0,1024
162.245.152.0/22,162.245.152.0,162.245.155.255,22,255.255.252.0,1024
196.3.73.0/24,196.3.73.0,196.3.73.255,24,255.255.255.0,256
199.83.192.0/21,199.83.192.0,199.83.199.255,21,255.255.248.0,2048
199.85.236.0/22,199.85.236.0,199.85.239.255,22,255.255.252.0,1024
206.126.244.0/24,206.126.244.0,206.126.244.255,24,255.255.255.0,256
