# CIDR,network(start) address,end address,prefix,subnet mask
41.57.80.0/20,41.57.80.0,41.57.95.255,20,255.255.240.0
41.86.0.0/19,41.86.0.0,41.86.31.255,19,255.255.224.0
41.191.104.0/22,41.191.104.0,41.191.107.255,22,255.255.252.0
102.22.224.0/21,102.22.224.0,102.22.231.255,21,255.255.248.0
102.36.184.0/22,102.36.184.0,102.36.187.255,22,255.255.252.0
102.214.136.0/22,102.214.136.0,102.214.139.255,22,255.255.252.0
102.215.52.0/22,102.215.52.0,102.215.55.255,22,255.255.252.0
154.65.24.0/22,154.65.24.0,154.65.27.255,22,255.255.252.0
164.160.8.0/22,164.160.8.0,164.160.11.255,22,255.255.252.0
168.253.0.0/19,168.253.0.0,168.253.31.255,19,255.255.224.0
196.49.16.0/24,196.49.16.0,196.49.16.255,24,255.255.255.0
196.223.44.0/24,196.223.44.0,196.223.44.255,24,255.255.255.0
196.250.176.0/20,196.250.176.0,196.250.191.255,20,255.255.240.0
197.215.216.0/22,197.215.216.0,197.215.219.255,22,255.255.252.0
197.231.152.0/21,197.231.152.0,197.231.159.255,21,255.255.248.0
197.231.220.0/22,197.231.220.0,197.231.223.255,22,255.255.252.0
